BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Alternative Metal,,Reflective,,,,,,,,,,,Devilish,Background,,,,,,,
,,,,,,,Alternative Pop,,Relaxed / Sleepy,,,,,,,,,,,Devotion,Backpacking,,,,,,,
,,,,,,,Alternative Pop Rock,,Relentless,,,,,,,,,,,Digital,Backporch,,,,,,,
,,,,,,,Alternative R&B,,Restless,,,,,,,,,,,Dignified,Backwoods,,,,,,,
,,,,,,,Alternative Rock,,Rollicking,,,,,,,,,,,Discovery,Bad,,,,,,,
,,,,,,,Alternative Roots Rock,,Romantic,,,,,,,,,,,Diy,Bad Guy,,,,,,,
,,,,,,,Amapiano,,Sad / Heartbroken,,,,,,,,,,,Driven,Badass,,,,,,,
,,,,,,,Ambeat,,Scary,,,,,,,,,,,Drums,Ballad,,,,,,,
,,,,,,,Ambient,,Seductive,,,,,,,,,,,Dynamic,Ballroom,,,,,,,
,,,,,,,Ambient Black Metal,,Sentimental,,,,,,,,,,,Earthy,Ballsy,,,,,,,
,,,,,,,Ambient Dub Techno,,Serene,,,,,,,,,,,Ease,Bar,,,,,,,
,,,,,,,Ambient Folk,,Serious,,,,,,,,,,,Easy,Bar Pub,,,,,,,
,,,,,,,Ambient Fusion,,Sexy,,,,,,,,,,,Easy Going,Barren,,,,,,,
,,,,,,,Ambient Guitar,,Soaring,,,,,,,,,,,Eccentric,Base Jumping,,,,,,,
,,,,,,,Ambient House,,Soft,,,,,,,,,,,Eclectic,Baseball,,,,,,,
,,,,,,,Ambient Idm,,Solemn,,,,,,,,,,,Edgy,Basketball,,,,,,,
,,,,,,,Ambient Industrial,,Soothing,,,,,,,,,,,Educational,Battle,,,,,,,
,,,,,,,Ambient Pop,,Spiritual / Sacred,,,,,,,,,,,Effortless,Battlefield,,,,,,,
,,,,,,,Ambient Post-Rock,,Spooky,,,,,,,,,,,Eldritch,Battlesome,,,,,,,
,,,,,,,Ambient Psychill,,Strange,,,,,,,,,,,Elegant,Bazar,,,,,,,
,,,,,,,Ambient Techno,,Strong,,,,,,,,,,,Emotional,Beach,,,,,,,
,,,,,,,Ambient Trance,,Supernatural,,,,,,,,,,,Empowering,Beats,,,,,,,
,,,,,,,Ambient Worship,,Suspenseful,,,,,,,,,,,Enchanting,Beauty,,,,,,,
,,,,,,,American 21St Century Classical,,Sweet,,,,,,,,,,,Encouraging,Bed,,,,,,,
,,,,,,,American Choir,,Tender,,,,,,,,,,,Endurance,Belief,,,,,,,
,,,,,,,American Classical Piano,,Tense / Jittery,,,,,,,,,,,Engaging,Big,,,,,,,
,,,,,,,American Contemporary Classical,,Thoughtful,,,,,,,,,,,Enthusiastic,Big Band,,,,,,,
,,,,,,,American Early Music,,Tranquil,,,,,,,,,,,Epic,Big Band Jazz,,,,,,,
,,,,,,,American Folk Revival,,Triumphant,,,,,,,,,,,Erotic,Big Beat,,,,,,,
,,,,,,,American Grindcore,,Upbeat,,,,,,,,,,,Esoteric,Big End,,,,,,,
,,,,,,,American Melodeath,,Uplifting,,,,,,,,,,,Ethno,Bike,,,,,,,
,,,,,,,American Metalcore,,Victorious,,,,,,,,,,,Evil Spirit,Bittersweet,,,,,,,
,,,,,,,American Modern Classical,,Violent,,,,,,,,,,,Exciting,Biz,,,,,,,
,,,,,,,American Oi,,Warm / Sympathetic,,,,,,,,,,,Exercise,Bizarre,,,,,,,
,,,,,,,American Orchestra,,Weird,,,,,,,,,,,Exotic,Black,,,,,,,
,,,,,,,American Post-Rock,,,,,,,,,,,,,Expectant,Blaxploitation,,,,,,,
,,,,,,,American Primitive,,,,,,,,,,,,,Experimental,Bleak,,,,,,,
,,,,,,,American Romanticism,,,,,,,,,,,,,Exploration,Bliss,,,,,,,
,,,,,,,American Shoegaze,,,,,,,,,,,,,Expressive,Blockbuster,,,,,,,
,,,,,,,Amharic Pop,,,,,,,,,,,,,Extraterrestrial,Blood,,,,,,,
,,,,,,,Anadolu Rock,,,,,,,,,,,,,Extravagant,Blood Curdling,,,,,,,
,,,,,,,Anarcho-Punk,,,,,,,,,,,,,Extreme,Bloodbath,,,,,,,
,,,,,,,Ancient Mediterranean,,,,,,,,,,,,,Fame,Bluegrass,,,,,,,
,,,,,,,Andean Flute,,,,,,,,,,,,,Family,Blues,,,,,,,
,,,,,,,Anglican Liturgy,,,,,,,,,,,,,Fancy,Blues Rock,,,,,,,
,,,,,,,Anime,,,,,,,,,,,,,Fantasy Magical,Bluesy,,,,,,,
,,,,,,,Anime Cv,,,,,,,,,,,,,Fashion Glamour,Boisterous,,,,,,,
,,,,,,,Anime Latino,,,,,,,,,,,,,Fast Paced,Bold,,,,,,,
